ID_WATER_P,WP_OLDNAME,PLATE_ID,EASTINGX,NORTHINGY,DISTRICT_N,TA_NAME,VILLAGE_SI,WATER_SOUR,PUMP_TYPE,CONDITION,CONSTRUCTI,FUNDS,SERVICES
308_03_333,,,765688.00000,8226961.00000,Mulanje,Chikumbu TA,Mangani,shallow well with hand pump,Malda,functional,2000,OTHER,Local artisans
308_03_332,,,766111.00000,8226790.00000,Mulanje,Chikumbu TA,Mangani,mechanic borehole,Afridev,functional,2002,MASAF,WDC
308_03_331,,,766305.00000,8226753.00000,Mulanje,Chikumbu TA,Mangani,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_330,,,766340.00000,8227086.00000,Mulanje,Chikumbu TA,Mangani,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_329,,,766244.00000,8227356.00000,Mulanje,Chikumbu TA,Mangani,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_328,,,766044.00000,8227478.00000,Mulanje,Chikumbu TA,Mangani,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_03_327,,,765885.00000,8227437.00000,Mulanje,Chikumbu TA,Mangani,gravity fed standpipe,no pump,functional,1974,Government,Government
308_03_368,,,763810.00000,8227570.00000,Mulanje,Chikumbu TA,MJ mission,mechanic borehole,Afridev,not functional,1998,OTHER,CSC
308_03_372,SDC/11/62,,764043.00000,8228964.00000,Mulanje,Chikumbu TA,Namakhucha,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_459,,,763040.00000,8225222.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_480,,,762843.00000,8226844.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1996,Government,Local artisans
308_03_479,,,762964.00000,8226805.00000,Mulanje,Chikumbu TA,Sitolo,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_478,,,762971.00000,8226782.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_476,,,762845.00000,8226589.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,functional,2000,OTHER,Government
308_03_473,,,762971.00000,8226394.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_464,,,763101.00000,8226690.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,functional,2001,OTHER,Government
308_03_462,,,763153.00000,8226759.00000,Mulanje,Chikumbu TA,MJ Mission,gravity fed standpipe,no pump,functional,1991,OTHER,Government
308_03_352,,,764460.00000,8228712.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,not functional,1111,unknown,unknown
308_03_447,,,763142.00000,8226654.00000,Mulanje,Chikumbu TA,MJ Mission,gravity fed standpipe,no pump,functional,1111,Government,Government
308_03_373,,,763555.00000,8229231.00000,Mulanje,Chikumbu TA,Namakhucha,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_374,,,763135.00000,8229465.00000,Mulanje,Chikumbu TA,Namakhucha,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_375,,,762960.00000,8229529.00000,Mulanje,Chikumbu TA,Namakhucha,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_376,CD/118,,762877.00000,8229578.00000,Mulanje,Chikumbu TA,Namakhucha,mechanic borehole,Afridev,functional,1998,Government,CHITSIME
308_03_377,,,762739.00000,8229685.00000,Mulanje,Chikumbu TA,Namakhucha,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_461,,,763188.00000,8226303.00000,Mulanje,Chikumbu TA,Sitolo,mechanic borehole,Afridev,not functional,1998,Government,CDC
308_03_441,,,763153.00000,8226698.00000,Mulanje,Chikumbu TA,MJ Mission,gravity fed standpipe,no pump,functional,2002,Government,Government
308_03_460,GAS/0003,,762926.00000,8225361.00000,Mulanje,Chikumbu TA,Sitolo,mechanic borehole,Afridev,functional,1999,MASAF,Other
308_03_448,,,763188.00000,8226671.00000,Mulanje,Chikumbu TA,MJ Mission,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_451,,,763448.00000,8226511.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1998,Private,Private
308_03_452,,,763446.00000,8226461.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1974,Government,Local artisans
308_03_455,,,763335.00000,8226372.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_458,,,763148.00000,8226065.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_439,,,763453.00000,8227424.00000,Mulanje,Chikumbu TA,MJ mission,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_670,,,766075.00000,8225773.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1997,Government,Local artisans
308_03_696,,,765016.00000,8225326.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1986,Government,Local artisans
308_03_695,,,765169.00000,8224911.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1974,Government,Local artisans
308_03_693,,,764919.00000,8225143.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1993,Government,Local artisans
308_03_691,,,764869.00000,8225261.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1996,Private,Private
308_03_690,,,764622.00000,8224834.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1988,Government,Local artisans
308_03_688,,,765436.00000,8224151.00000,Mulanje,Chikumbu TA,Chilingulo,shallow well with hand pump,Malda,functional,1998,MMH,Local artisans
308_03_687,,,765153.00000,8224714.00000,Mulanje,Chikumbu TA,Chilingulo,shallow well with hand pump,Malda,functional,2000,MMH,Local artisans
308_03_686,,,765374.00000,8224336.00000,Mulanje,Chikumbu TA,Chilingulo,shallow well with hand pump,Afridev,functional,2000,OXFAM,Local artisans
308_03_685,,,765020.00000,8224133.00000,Mulanje,Chikumbu TA,Chilingulo,gravity fed standpipe,no pump,not functional,1974,Government,Local artisans
308_03_681,,,763615.00000,8224316.00000,Mulanje,Chikumbu TA,Kadewere,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_700,,,765266.00000,8225999.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1996,Private,Local artisans
308_03_663,,,764249.00000,8224512.00000,Mulanje,Chikumbu TA,Kadewere,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_676,,,765700.00000,8224417.00000,Mulanje,Chikumbu TA,Kathebwe,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_662,,,764051.00000,8224080.00000,Mulanje,Chikumbu TA,Kadewere,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_675,MJ/91,,765734.00000,8224555.00000,Mulanje,Chikumbu TA,Kathebwe,mechanic borehole,Afridev,functional,2000,MASAF,Drill Tech
308_03_665,,,765046.00000,8226273.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_666,CD/F/2/04,,764858.00000,8226330.00000,Mulanje,Chikumbu TA,Namputu A,mechanic borehole,Afridev,functional,1997,Government,CDC
308_03_667,RJ/602,,765308.00000,8225875.00000,Mulanje,Chikumbu TA,Namputu A,mechanic borehole,Afridev,functional,2002,Government,Government
308_03_668,,,765580.00000,8225679.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1999,Government,Government
308_03_669,,,766014.00000,8225826.00000,Mulanje,Chikumbu TA,Namputu A,mechanic borehole,Afridev,not functional,1998,Government,CDC
308_03_716,,,764343.00000,8224901.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,2000,Private,Local artisans
308_03_661,,,764049.00000,8224081.00000,Mulanje,Chikumbu TA,Kadewere,mechanic borehole,Afridev,not functional,1999,Government,SCANDRIL
308_05_107,,,762535.00000,8232459.00000,Mulanje,Chikumbu TA,Salimu,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_03_697,,,764583.00000,8225334.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1984,Government,Local artisans
308_03_717,,,764058.00000,8225118.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1999,Private,Local artisans
308_03_719,,,764049.00000,8225253.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,functional,1995,Private,Local artisans
308_03_720,,,763858.00000,8225266.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,2002,Private,Local artisans
308_03_721,,,763881.00000,8225054.00000,Mulanje,Chikumbu TA,Namputu A,gravity fed standpipe,no pump,not functional,1974,Government,Local artisans
308_03_722,,,763829.00000,8224697.00000,Mulanje,Chikumbu TA,Namputu A,shallow well with hand pump,Afridev,functional,2000,OXFAM,Local artisans
308_03_634,MJ/095,,762076.00000,8226714.00000,Mulanje,Chikumbu TA,Kunthanguo,mechanic borehole,Afridev,not functional,2000,MASAF,unknown
308_03_636,,,762226.00000,8226394.00000,Mulanje,Chikumbu TA,Kunthanguo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_015,CWP N23,,764716.00000,8229419.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_029,,,762802.00000,8230579.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_028,,,763528.00000,8231287.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_027,,,763636.00000,8230929.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_026,SDC/03/06,,763580.00000,8230928.00000,Mulanje,Chikumbu TA,Khoviwa,mechanic borehole,Afridev,functional,2002,HIPC,Water Boring
308_03_025,,,763291.00000,8230720.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1980,Government,Government
308_03_024,,,762969.00000,8230598.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_023,,,762720.00000,8230379.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,Climax,not functional,1975,Government,Government
308_03_022,CL/29,,762706.00000,8230343.00000,Mulanje,Chikumbu TA,Khoviwa,mechanic borehole,Afridev,functional,1998,Government,CHITSIME
308_03_021,,,762630.00000,8230300.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_020,CL/206,,762687.00000,8229972.00000,Mulanje,Chikumbu TA,Khoviwa,mechanic borehole,Afridev,not functional,1998,Government,unknown
308_03_019,,,762951.00000,8229899.00000,Mulanje,Chikumbu TA,Khoviwa,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_018,CA/SD/LI/64,,763940.00000,8229956.00000,Mulanje,Chikumbu TA,Nkhonya,mechanic borehole,Afridev,not functional,1999,Government,SCANDRIL
308_03_009,SCD/03/16/66,,765631.00000,8228857.00000,Mulanje,Chikumbu TA,Nkhonya,mechanic borehole,Afridev,functional,2002,HIPC,CHITSIME
308_03_017,CWP N26,,764057.00000,8229737.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_008,WPN018,,765640.00000,8228780.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_016,CWP N24,,764055.00000,8229739.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_010,CWPN019,,765477.00000,8228884.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_011,CWP N020,,765324.00000,8229072.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_012,A112,,765114.00000,8229185.00000,Mulanje,Chikumbu TA,Nkhonya,mechanic borehole,Afridev,not functional,1956,Government,unknown
308_03_013,CWP N21,,765027.00000,8229287.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_014,CWP N22,,764898.00000,8229346.00000,Mulanje,Chikumbu TA,Nkhonya,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_133,EUG 00 10,,760965.00000,8230875.00000,Mulanje,Chikumbu TA,Robeni,mechanic borehole,Afridev,functional,2000,EU,unknown
308_03_243,,,761249.00000,8231714.00000,Mulanje,Chikumbu TA,Sikoya A,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_242,,,761288.00000,8231671.00000,Mulanje,Chikumbu TA,Sikoya A,mechanic borehole,Afridev,not functional,1997,MASAF,Drill Tech
308_03_24,,,765140.00000,8227951.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_268,,,764518.00000,8228631.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_264,MASAF/WDC,,764419.00000,8228262.00000,Mulanje,Chikumbu TA,Ndala,mechanic borehole,Afridev,not functional,2002,MASAF,WDC
308_03_261,,,765018.00000,8228288.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_263,RJ603,,764858.00000,8228241.00000,Mulanje,Chikumbu TA,Ndala,mechanic borehole,Afridev,functional,2002,Government,Government
308_03_265,,,764741.00000,8228241.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_267,,,764295.00000,8228283.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_262,,,764891.00000,8228279.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_141,,,760957.00000,8230012.00000,Mulanje,Chikumbu TA,Chisitu T.Centre,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_134,,,760955.00000,8230743.00000,Mulanje,Chikumbu TA,Robeni,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_135,,,761387.00000,8231111.00000,Mulanje,Chikumbu TA,Robeni,mechanic borehole,Afridev,functional,1999,Government,CADCO
308_03_136,,,761350.00000,8230784.00000,Mulanje,Chikumbu TA,Robeni,gravity fed standpipe,no pump,not functional,2000,Government,Government
308_03_137,,,761262.00000,8230983.00000,Mulanje,Chikumbu TA,Robeni,gravity fed standpipe,no pump,functional,2000,Government,Government
308_03_140,,,760893.00000,8229948.00000,Mulanje,Chikumbu TA,Chisitu T.Centre,mechanic borehole,Afridev,functional,1998,Government,SCANDRIL
308_03_142,,,761111.00000,8230046.00000,Mulanje,Chikumbu TA,Chisitu T.Centre,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_143,,,761294.00000,8230105.00000,Mulanje,Chikumbu TA,Chisitu T.Centre,mechanic borehole,Afridev,functional,1998,Government,CDC
308_03_144,,,761164.00000,8229766.00000,Mulanje,Chikumbu TA,Kumponda,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_145,,,761316.00000,8229750.00000,Mulanje,Chikumbu TA,Kumponda,gravity fed standpipe,no pump,functional,1991,Government,Government
308_03_210,,,761644.00000,8232267.00000,Mulanje,Chikumbu TA,Chilenga A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_211,RJ607,,761559.00000,8232339.00000,Mulanje,Chikumbu TA,Chilenga A,mechanic borehole,Afridev,functional,2002,Government,Government
308_03_212,,,760978.00000,8232463.00000,Mulanje,Chikumbu TA,Chilenga A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_208,,,762110.00000,8231540.00000,Mulanje,Chikumbu TA,Kandulu,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_207,,,762296.00000,8232036.00000,Mulanje,Chikumbu TA,Kandulu,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_209,,,761890.00000,8232071.00000,Mulanje,Chikumbu TA,Girbert,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_202,,,761604.00000,8231357.00000,Mulanje,Chikumbu TA,Sikoya A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_203,,,761925.00000,8231309.00000,Mulanje,Chikumbu TA,Sikoya A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_204,,,761764.00000,8231598.00000,Mulanje,Chikumbu TA,Sikoya A,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_205,,,761745.00000,8231531.00000,Mulanje,Chikumbu TA,Sikoya A,gravity fed standpipe,no pump,functional,2002,MPs,Local artisans
308_03_206,,,762069.00000,8231772.00000,Mulanje,Chikumbu TA,Kandulu,mechanic borehole,Afridev,functional,2002,Government,Water Boring
308_05_421,0,,764004.00000,8231268.00000,Mulanje,Chikumbu TA,Liwaya,mechanic borehole,Afridev,functional,2001,GTZ,Other
308_03_266,,,764516.00000,8228285.00000,Mulanje,Chikumbu TA,Ndala,gravity fed standpipe,no pump,functional,1975,Government,Government
308_02_079,,,789251.00000,8219029.00000,Mulanje,Laston Njema TA,Kapsangera,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_080,CL/4/173,,789273.00000,8219302.00000,Mulanje,Laston Njema TA,Kapsangera,mechanic borehole,Afridev,functional,2000,MASAF,unknown
308_02_081,ML 12,,789457.00000,8219331.00000,Mulanje,Laston Njema TA,Kapsangera,shallow well with hand pump,no pump,not functional,1987,Red Cross,Red Cross
308_02_083,,,789164.00000,8218716.00000,Mulanje,Laston Njema TA,Dzumbira,mechanic borehole,Afridev,functional,2000,Government,Government
308_02_087,ML 11,,789585.00000,8218575.00000,Mulanje,Laston Njema TA,Gwirima,shallow well with hand pump,no pump,not functional,1988,Red Cross,Red Cross
308_02_078,,,789800.00000,8219230.00000,Mulanje,Laston Njema TA,Kapsangera,gravity fed standpipe,no pump,not functional,1980,Government,Government
308_02_065,,,790418.00000,8220587.00000,Mulanje,Laston Njema TA,Chimwaza,mechanic borehole,Afridev,functional,1999,Government,unknown
308_02_086,ML 10,,788784.00000,8218745.00000,Mulanje,Laston Njema TA,Dzumbira,shallow well with hand pump,no pump,not functional,1987,Red Cross,Red Cross
308_02_082,,,789512.00000,8218775.00000,Mulanje,Laston Njema TA,Gambula,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_070,ML 17,,790177.00000,8221066.00000,Mulanje,Laston Njema TA,Chinseu,shallow well with hand pump,no pump,not functional,1987,Red Cross,Red Cross
308_02_114,,,786355.00000,8220836.00000,Mulanje,Laston Njema TA,Namani,mechanic borehole,Afridev,functional,2000,unknown,CHITSIME
308_02_088,A 106,,790314.00000,8221126.00000,Mulanje,Laston Njema TA,Limbuli,mechanic borehole,Afridev,functional,1111,unknown,unknown
308_02_062,,,790449.00000,8219717.00000,Mulanje,Laston Njema TA,Chimwaza,mechanic borehole,Afridev,functional,2000,Government,unknown
308_02_063,,,790646.00000,8219619.00000,Mulanje,Laston Njema TA,Chimwaza,gravity fed standpipe,no pump,not functional,1983,Government,Government
308_02_064,,,790337.00000,8220722.00000,Mulanje,Laston Njema TA,Chimwaza,gravity fed standpipe,no pump,not functional,1994,Government,Government
308_02_066,,,790386.00000,8220987.00000,Mulanje,Laston Njema TA,Chinseu,mechanic borehole,Afridev,functional,2000,Government,unknown
308_02_067,ML 21,,790229.00000,8220078.00000,Mulanje,Laston Njema TA,Chimwaza,shallow well with hand pump,no pump,not functional,1988,Red Cross,Red Cross
308_02_069,,,790212.00000,8220962.00000,Mulanje,Laston Njema TA,Chinseu,shallow well with hand pump,no pump,not functional,1986,Red Cross,Red Cross
308_02_077,,,790166.00000,8219351.00000,Mulanje,Laston Njema TA,Chimwaza,shallow well with hand pump,no pump,not functional,1991,Red Cross,Red Cross
308_02_071,,,790082.00000,8221095.00000,Mulanje,Laston Njema TA,Chinseu,mechanic borehole,Afridev,functional,2000,MASAF,unknown
308_02_072,,,790035.00000,8220933.00000,Mulanje,Laston Njema TA,Chinseu,gravity fed standpipe,no pump,not functional,1983,Government,Government
308_02_073,,,790065.00000,8220803.00000,Mulanje,Laston Njema TA,Chinseu,mechanic borehole,Afridev,not functional,2000,MASAF,unknown
308_02_074,,,790157.00000,8220433.00000,Mulanje,Laston Njema TA,Chimwaza,shallow well with hand pump,no pump,not functional,1988,Red Cross,Red Cross
308_02_075,ML 22,,790123.00000,8220124.00000,Mulanje,Laston Njema TA,Chimwaza,shallow well with hand pump,no pump,not functional,1986,Red Cross,Red Cross
308_02_076,,,789894.00000,8219553.00000,Mulanje,Laston Njema TA,Chimwaza,gravity fed standpipe,no pump,not functional,1994,Government,Government
308_02_068,,,790214.00000,8220413.00000,Mulanje,Laston Njema TA,Chimwaza,shallow well with hand pump,no pump,not functional,1988,Red Cross,Red Cross
308_02_103,,,788462.00000,8219403.00000,Mulanje,Laston Njema TA,Soza,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_02_115,,,786369.00000,8220828.00000,Mulanje,Laston Njema TA,Namani,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_037,FWP 171,,792506.00000,8220712.00000,Mulanje,Laston Njema TA,MRA,mechanic borehole,Afridev,functional,2001,Government,unknown
308_02_112,,,786221.00000,8220795.00000,Mulanje,Laston Njema TA,Namani,gravity fed standpipe,no pump,not functional,1978,Government,Government
